Dataset,Fragments,Count,Proportion,AMW,NumCarbons,NumOxygens,NumNitrogens,NumHeavyAtoms,CSP3,FractionOfChiralCarbons,NumAliphaticRings,NumAromaticRings,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumHeterocycles,NumRings,NumSpiroAtoms,NumBridgeheadAtoms
FooDB,*C(=O)CCCCCCCCCCC,30,0.942,183.174890356,12,1,0,13,0.9166666666666666,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCCCCCC,30,0.942,127.1122901,8,1,0,9,0.875,0.0,0,0,0,0,0,0,0,0
FooDB,*CC(C)C,30,0.942,57.070425287999996,4,0,0,4,1.0,0.0,0,0,0,0,0,0,0,0
FooDB,*C(O)C(=O)C(C)(C)CO[PH](=O)(=O)O[PH](=O)(=O)OCC1OC(*)C(O)C1O[PH](=O)(=O)O,29,0.91,486.00932986199984,11,15,0,29,0.9090909090909091,0.45454545454545453,1,0,1,0,1,1,0,0
FooDB,*CC(C)C(C)C,28,0.879,85.101725416,6,0,0,6,1.0,0.16666666666666666,0,0,0,0,0,0,0,0
FooDB,*CC(O)CO,28,0.879,75.044604464,3,2,0,5,1.0,0.3333333333333333,0,0,0,0,0,0,0,0
FooDB,*CCC=CCC,27,0.847,83.086075352,6,0,0,6,0.6666666666666666,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)C12CCC(C)(C)CC1C1=CCC3C4(C)CCC(*)C(C)(C)C4CCC3(C)C1(C)CC2O,26,0.816,438.349780712,30,2,0,32,0.9,0.3,5,0,0,0,0,5,0,0
FooDB,*CC(C)=O,26,0.816,57.03403978,3,1,0,4,0.6666666666666666,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCCC,25,0.785,85.065339908,5,1,0,6,0.8,0.0,0,0,0,0,0,0,0,0
FooDB,*CCCCCCC,24,0.753,99.11737547999999,7,0,0,7,1.0,0.0,0,0,0,0,0,0,0,0
FooDB,*c1ccc(O)c(O)c1,24,0.753,109.0289544,6,2,0,8,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*CC(O)CO[PH](=O)(=O)OCCN,24,0.753,198.053134146,5,5,1,12,1.0,0.2,0,0,0,0,0,0,0,0
FooDB,*C(=O)C1CCCN1*,24,0.753,97.052763844,5,1,1,7,0.8,0.2,1,0,1,0,1,1,0,0
FooDB,*C1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1,24,0.753,369.35212644,27,0,0,27,0.9259259259259259,0.2962962962962963,4,0,0,0,0,4,0,0
FooDB,*C(CO)CO[PH](=O)(=O)OCCN,24,0.753,198.053134146,5,5,1,12,1.0,0.2,0,0,0,0,0,0,0,0
FooDB,*CC(O)COP(=O)([O-])OCC[N+](C)(C)C,23,0.722,240.100084338,8,5,1,15,1.0,0.125,0,0,0,0,0,0,0,0
FooDB,*c1ccccc1,23,0.722,77.03912516,6,0,0,6,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*CC=CCC(*)=O,22,0.691,82.041864812,5,1,0,6,0.4,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)c1ccc(O)cc1,21,0.659,121.0289544,7,2,0,9,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*C1OC(C)C(*)C(O)C1O,21,0.659,130.06299418,6,3,0,9,1.0,0.8333333333333334,1,0,1,0,1,1,0,0
FooDB,*C1(CO)OC(CO)C(O)C1O,21,0.659,163.060648452,6,5,0,11,1.0,0.6666666666666666,1,0,1,0,1,1,0,0
FooDB,*CC(O)CCCC(*)=O,21,0.659,114.06807956,6,2,0,8,0.8333333333333334,0.16666666666666666,0,0,0,0,0,0,0,0
FooDB,*C1CCC2(C)C(CCC3C2CCC2(C)C3CC3OC4(CCC(C)CO4)C(C)C32)C1,21,0.659,399.326305616,27,2,0,29,1.0,0.4444444444444444,6,0,2,0,2,6,1,0
FooDB,*C(=O)c1ccc(*)cc1,20,0.628,104.026214748,7,1,0,8,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*C1OC(C)C(O)C(O)C1*,20,0.628,130.06299418,6,3,0,9,1.0,0.8333333333333334,1,0,1,0,1,1,0,0
FooDB,*C(C(=O)C(O)CO)C(O)CO,19,0.596,163.060648452,6,5,0,11,0.8333333333333334,0.5,0,0,0,0,0,0,0,0
FooDB,*C1OC(CO)C(O)C(*)C1O,19,0.596,146.0579088,6,4,0,10,1.0,0.8333333333333334,1,0,1,0,1,1,0,0
